0.00.359.096 I cmn  common_param: common_params_print_info: verbosity = 3 (adjust with the `-lv N` CLI arg)
0.00.542.157 W srv  llama_server: -----------------
0.00.542.159 W srv  llama_server: CORS is set to allow all origins ('*') and no API key is set
0.00.542.160 W srv  llama_server: this can be a security risk (cross-origin attacks)
0.00.542.160 W srv  llama_server: more info: https://github.com/ggml-org/llama.cpp/pull/25655
0.00.542.160 W srv  llama_server: -----------------
0.00.543.500 I srv    load_model: loading model '/home/dushyant30suthar/.lmstudio/models/unsloth/Laguna-S-2.1-GGUF/Laguna-S-2.1-UD-Q2_K_XL.gguf'
0.00.753.234 W common_fit_params: failed to fit params to free device memory: n_gpu_layers already set by user to 99, abort
0.00.868.166 W load: special_eos_id is not in special_eog_ids - the tokenizer config may be incorrect
0.00.868.170 W load: special_eot_id is not in special_eog_ids - the tokenizer config may be incorrect
0.27.931.557 I srv    load_model: initializing, n_slots = 4, n_ctx_slot = 98304, kv_unified = 'true'
0.27.931.673 W srv          init: --cache-idle-slots requires --cache-ram, disabling
0.27.943.403 I srv          init: chat template supports preserving reasoning, consider enabling it via --reasoning-preserve
0.27.943.431 I srv  llama_server: model loaded
0.27.943.435 I srv  llama_server: listening on http://127.0.0.1:9520
0.28.826.372 I slot get_availabl: id  3 | task -1 | selected slot by LRU, t_last = -1
0.28.826.424 I slot launch_slot_: id  3 | task 0 | processing task, is_child = 0
0.36.152.934 I slot print_timing: id  3 | task 0 | n_decoded =    100, tg =  19.60 t/s, tg_3s =  19.60 t/s
0.39.200.720 I slot print_timing: id  3 | task 0 | n_decoded =    161, tg =  19.75 t/s, tg_3s =  20.01 t/s
0.42.219.446 I slot print_timing: id  3 | task 0 | n_decoded =    219, tg =  19.61 t/s, tg_3s =  19.21 t/s
0.45.257.046 I slot print_timing: id  3 | task 0 | n_decoded =    280, tg =  19.71 t/s, tg_3s =  20.08 t/s
0.48.294.561 I slot print_timing: id  3 | task 0 | n_decoded =    341, tg =  19.78 t/s, tg_3s =  20.08 t/s
0.51.332.071 I slot print_timing: id  3 | task 0 | n_decoded =    401, tg =  19.77 t/s, tg_3s =  19.75 t/s
0.54.337.236 I slot print_timing: id  3 | task 0 | n_decoded =    461, tg =  19.80 t/s, tg_3s =  19.97 t/s
0.57.354.330 I slot print_timing: id  3 | task 0 | n_decoded =    521, tg =  19.81 t/s, tg_3s =  19.89 t/s
1.00.369.436 I slot print_timing: id  3 | task 0 | n_decoded =    581, tg =  19.82 t/s, tg_3s =  19.90 t/s
1.03.396.658 I slot print_timing: id  3 | task 0 | n_decoded =    641, tg =  19.82 t/s, tg_3s =  19.82 t/s
1.06.429.505 I slot print_timing: id  3 | task 0 | n_decoded =    701, tg =  19.81 t/s, tg_3s =  19.78 t/s
1.09.444.376 I slot print_timing: id  3 | task 0 | n_decoded =    761, tg =  19.82 t/s, tg_3s =  19.90 t/s
1.12.473.829 I slot print_timing: id  3 | task 0 | n_decoded =    821, tg =  19.82 t/s, tg_3s =  19.81 t/s
1.15.479.788 I slot print_timing: id  3 | task 0 | n_decoded =    878, tg =  19.76 t/s, tg_3s =  18.96 t/s
1.18.500.049 I slot print_timing: id  3 | task 0 | n_decoded =    937, tg =  19.75 t/s, tg_3s =  19.53 t/s
1.21.535.738 I slot print_timing: id  3 | task 0 | n_decoded =    997, tg =  19.75 t/s, tg_3s =  19.76 t/s
1.24.568.391 I slot print_timing: id  3 | task 0 | n_decoded =   1057, tg =  19.75 t/s, tg_3s =  19.78 t/s
1.27.610.581 I slot print_timing: id  3 | task 0 | n_decoded =   1117, tg =  19.75 t/s, tg_3s =  19.72 t/s
1.30.616.039 I slot print_timing: id  3 | task 0 | n_decoded =   1176, tg =  19.74 t/s, tg_3s =  19.63 t/s
1.33.662.273 I slot print_timing: id  3 | task 0 | n_decoded =   1235, tg =  19.72 t/s, tg_3s =  19.37 t/s
